form_diff,goal_diff_diff,scored_diff,conceded_diff,elo_diff,neutral,year,result,tournament_type_continental_qualifier,tournament_type_friendly,tournament_type_nations_league,tournament_type_other,tournament_type_regional,tournament_type_world_cup,tournament_type_world_cup_qualifier
0.3333333333333333,1.2,0.7999999999999999,-0.3999999999999999,56.38289696093466,0,2000,home_win,0,0,0,0,0,0,1
0.1333333333333333,-0.4,0.40000000000000013,0.8000000000000003,-17.507531216655025,0,2000,draw,0,0,0,0,0,0,1
0.06666666666666665,1.0,1.2000000000000002,0.2,16.355834276058886,0,2000,home_win,0,1,0,0,0,0,0
-0.13333333333333336,-1.6,0.6000000000000001,2.2,-37.00588134393206,0,2000,draw,0,1,0,0,0,0,0
-0.1333333333333333,-0.39999999999999997,-0.8,-0.3999999999999999,-19.512070916141283,1,2000,draw,0,0,0,1,0,0,0
0.0,0.40000000000000013,-0.9999999999999998,-1.4,-10.922680814096339,0,2000,draw,0,0,0,0,0,0,1
0.5333333333333333,2.6,1.6,-1.0,39.76680006481206,0,2000,draw,0,0,0,0,0,0,1
-0.06666666666666665,-0.4,0.0,0.3999999999999999,-3.0897399562941246,0,2000,home_win,0,0,0,0,0,0,1
-0.13333333333333341,-1.7999999999999998,-2.2,-0.4,2.629216931347173,0,2000,home_win,0,0,0,0,0,0,1
0.4666666666666667,0.8,1.4,0.6000000000000001,37.125067715616524,1,2000,draw,0,0,0,1,0,0,0
-0.33333333333333326,-1.4,-1.8,-0.3999999999999999,-28.644244662794108,0,2000,home_win,0,0,0,1,0,0,0
-0.2666666666666666,-0.4,-1.0000000000000002,-0.6000000000000001,-8.200307228924203,1,2000,draw,0,0,0,1,0,0,0
0.06666666666666665,0.0,-0.19999999999999996,-0.19999999999999996,9.948248867864095,0,2000,home_win,0,0,0,1,0,0,0
0.1333333333333333,0.6000000000000001,-0.40000000000000013,-1.0,9.218976820814987,1,2000,home_win,0,0,0,1,0,0,0
-0.1333333333333333,-0.6000000000000001,-1.2000000000000002,-0.5999999999999999,-18.50400622311099,0,2000,away_win,0,1,0,0,0,0,0
-0.2666666666666667,0.0,1.0,0.9999999999999999,-22.4778699275887,0,2000,draw,0,0,0,0,0,0,1
0.20000000000000007,2.4,2.2,-0.19999999999999996,14.287910227598559,0,2000,home_win,0,0,0,0,0,0,1
0.1333333333333333,0.3999999999999999,1.4000000000000001,1.0,10.294127826364956,0,2000,draw,0,0,0,0,0,0,1
-0.13333333333333341,0.0,-0.19999999999999996,-0.19999999999999996,-7.253389364975874,1,2000,home_win,0,0,0,0,1,0,0
0.26666666666666666,0.8,-0.20000000000000018,-1.0,19.655654437922067,0,2000,home_win,0,1,0,0,0,0,0
-0.2666666666666667,-1.4,-0.6000000000000001,0.7999999999999999,-18.29391696562857,1,2000,away_win,0,0,0,0,1,0,0
-0.4666666666666666,-2.8,-1.4,1.4,-58.57296382344225,1,2000,draw,0,0,0,0,1,0,0
0.0,-0.3999999999999999,-0.40000000000000013,0.0,14.3622226035734,0,2000,home_win,0,1,0,0,0,0,0
0.0,-1.6,-2.6,-0.9999999999999999,23.690374822647527,0,2000,away_win,0,1,0,0,0,0,0
-0.13333333333333336,-0.39999999999999997,-0.8,-0.3999999999999999,-13.083700810827168,1,2000,away_win,0,1,0,0,0,0,0
0.19999999999999996,1.2,1.0,-0.20000000000000007,3.7218151421598122,0,2000,draw,0,0,0,0,1,0,0
